,anomes,numberCases,anomes_real,ano,sarampo,tosse,febre,coriza,conjuntivite,exantema_maculopapular,exantema,manchas_de_Koplik,Koplik,manchas_vermelhas_no_corpo,manchas_vermelhas,fotofobia,triplice_viral_d1,triplice_viral_d2,tetra_viral,mortal_idade_ate1ano,mortal_idade_1a4anos,mortal_idade_5a9anos,mortalidade_infantil_ate9anos,rain_max,temp_avg,temp_max,temp_min,hum_max,hum_min,total_pop_homens,total_pop_mulheres
45,202110,27,202111,2021,73.0,36.6,34.6,38.0,76.2,14.8,77.4,0.0,0.0,64.8,80.4,59.8,74.94,53.2,6.27,2648,456,234,3338,68.0,23.89452461622468,41.8,-0.2,100.0,7.0,104271843,109045796
46,202111,13,202112,2021,63.75,38.25,36.5,36.5,82.5,0.0,86.0,0.0,19.25,64.0,79.0,71.0,74.94,53.2,6.27,2594,447,216,3257,69.2,24.063790988968293,42.7,-9.2,100.0,7.0,104271843,109045796
47,202112,9,202201,2021,48.5,68.25,71.0,70.25,91.25,25.0,70.25,0.0,0.0,76.0,89.5,57.25,74.94,53.2,6.27,2736,520,299,3555,85.6,24.3952360661455,40.1,2.8,100.0,7.0,104271843,109045796
48,202201,3,202202,2022,9.2,78.0,77.0,74.4,48.8,38.2,50.8,0.0,42.4,85.2,98.0,67.6,80.7,57.64,10.43,2925,617,350,3892,76.0,24.89243488609177,42.2,6.0,100.0,7.0,104990487,109838053
49,202202,7,202203,2022,9.25,32.5,41.5,28.0,42.25,27.0,58.25,0.0,0.0,79.25,92.25,78.25,80.7,57.64,10.43,2531,429,249,3209,65.4,24.827239824407037,42.9,5.7,100.0,9.0,104990487,109838053
50,202203,18,202204,2022,14.75,34.75,42.5,28.75,44.0,50.0,73.25,23.0,42.5,80.25,88.25,85.75,80.7,57.64,10.43,2756,514,244,3514,75.4,24.518083386295928,38.7,2.2,100.0,7.0,104990487,109838053
51,202204,18,202205,2022,50.5,51.75,40.5,30.75,47.5,51.25,84.5,31.75,64.75,79.5,94.0,79.0,80.7,57.64,10.43,2810,552,273,3635,101.4,23.521330187668525,39.2,0.0,100.0,7.0,104990487,109838053
52,202205,6,202206,2022,39.4,72.6,42.2,43.0,63.0,69.8,90.8,12.2,65.2,84.8,91.8,79.2,80.7,57.64,10.43,2990,662,308,3960,138.2,20.833137774866614,37.5,-2.9,100.0,8.0,104990487,109838053
53,202206,3,202207,2022,20.25,88.25,47.75,52.0,76.5,23.75,72.75,0.0,43.0,71.75,86.25,72.25,80.7,57.64,10.43,2705,622,266,3593,60.0,20.204223473028303,37.4,-3.9,100.0,7.0,104990487,109838053
54,202207,2,202208,2022,10.6,62.2,38.4,32.4,71.4,0.0,51.4,0.0,0.0,69.6,84.0,74.4,80.7,57.64,10.43,2686,544,280,3510,44.2,21.502448203675414,37.8,-1.8,100.0,7.0,104990487,109838053
55,202208,4,202209,2022,15.5,46.0,31.75,30.75,68.75,12.5,57.0,0.0,44.75,63.0,75.75,82.0,80.7,57.64,10.43,2588,488,253,3329,56.6,21.568882079620536,39.7,-6.4,100.0,7.0,104990487,109838053
56,202209,11,202210,2022,13.75,50.0,35.0,24.25,77.0,28.5,64.0,18.5,27.5,58.5,74.75,63.25,80.7,57.64,10.43,2445,478,228,3151,51.2,22.69281502906569,40.8,-2.5,100.0,7.0,104990487,109838053
57,202210,2,202211,2022,10.8,39.4,38.6,20.4,88.8,0.0,67.2,16.6,35.2,61.0,79.0,80.2,80.7,57.64,10.43,2517,477,276,3270,71.8,24.1957871330791,41.1,2.5,100.0,7.0,104990487,109838053
